epoch,train_loss,train_acc1,val_loss,val_acc1,val_acc5
1,0.461232,84.2111,0.277349,90.52,99.76
2,0.221708,92.2556,0.237653,91.94,99.86
3,0.152961,94.6978,0.221771,92.4,99.88
4,0.108597,96.2111,0.238773,92.44,99.88
5,0.08094,97.1467,0.213886,92.68,99.92
6,0.060581,97.8978,0.257272,92.58,99.88
7,0.042717,98.5467,0.238583,93.18,99.92
8,0.028485,99.0422,0.254728,93.26,99.94
9,0.02271,99.22,0.263385,93.04,99.98
10,0.014169,99.5578,0.258517,93.54,99.92
11,0.01125,99.6556,0.275152,93.76,100.0
12,0.007588,99.7956,0.26605,93.66,99.96
13,0.005229,99.8489,0.254921,94.04,99.98
14,0.004805,99.88,0.249392,94.08,99.98
15,0.004254,99.8844,0.251367,93.94,99.98
